,industry_x,pe,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,labels_result,index,code,name,industry_y
198,67,20.13,1.79,0.138,5.67,0.98,19930326,14.01,1.51,-2.78,5.9,15.53,8.87,92060.0,12,000507,000507,珠海港,港口
199,7,19.1,0.95,0.373,4.17,3.42,20150302,5.2,2.0,20.92,35.59,45.59,17.69,23553.0,1,603309,603309,维力医疗,医疗保健
200,9,15.71,1.24,0.182,4.18,1.37,20090821,20.45,1.81,6.86,15.34,25.98,10.24,46312.0,1,002283,002283,天润工业,汽车配件
201,32,12.08,2.71,0.37,5.76,1.49,19930209,14.38,2.69,9.47,11.99,19.44,5.05,16186.0,3,600629,600629,华建集团,建筑工程
202,32,9.96,1.41,0.146,3.06,0.95,20021226,8.52,0.53,20.48,-46.74,12.23,13.19,97884.0,3,600512,600512,腾达建设,建筑工程
203,15,22.49,0.61,0.47,5.66,3.62,20080520,112.2,3.74,-8.96,10.5,48.17,13.91,142107.0,1,002236,002236,大华股份,电器仪表
204,62,15.52,2.88,0.285,7.95,1.11,19920902,128.25,3.3,0.88,10.37,23.83,5.51,86435.0,12,600655,600655,豫园股份,百货
205,32,9.69,0.47,0.461,3.74,2.39,20150610,21.54,1.99,13.34,16.73,5.48,1.34,24113.0,1,002761,002761,多喜爱,建筑工程
206,22,22.37,0.13,0.34,1.89,8.04,20140731,3.89,0.7,116.53,579.03,48.67,24.63,27479.0,6,300390,300390,天华超净,元器件
207,7,12.75,4.86,3.0060000000000002,12.06,6.35,20180710,3.84,5.77,253.98,397.19,83.75,55.52,17206.0,6,002932,002932,明德生物,医疗保健
208,68,10.17,0.79,0.157,3.76,0.85,19970228,17.27,1.18,-17.53,38.77,55.37,56.82,38917.0,8,600790,600790,轻纺城,商品城
209,13,12.39,1.12,0.542,9.72,1.38,19970610,338.73,7.05,9.73,216.17,9.29,7.94,139000.0,0,000625,000625,长安汽车,汽车整车
210,41,23.4,0.27,0.5760000000000001,7.66,3.52,19990609,14.09,6.01,2.64,51.99,67.45,16.21,15482.0,8,000915,000915,山大华特,化学制药
211,42,5.49,0.2,0.621,5.85,1.17,19981119,228.32,4.93,51.83,41.88,47.5,41.34,109622.0,0,600177,600177,雅戈尔,服饰
212,23,24.71,0.29,0.34,3.98,3.67,20141009,12.51,2.27,-17.46,-29.23,61.84,47.09,30254.0,8,300401,300401,花园生物,食品
213,0,23.73,9.53,0.619,13.62,2.16,20191029,5.59,2.69,-12.72,-19.81,38.2,12.9,16206.0,7,603610,603610,麒盛科技,家居用品
214,35,15.34,0.27,0.386,5.1,2.32,19990408,45.49,3.49,-6.86,-20.15,20.67,9.36,24551.0,3,000902,000902,新洋丰,农药化肥
215,69,24.37,1.63,0.41600000000000004,5.65,3.59,20150528,20.18,2.52,-27.32,-25.14,66.89,24.34,43676.0,8,603198,603198,迎驾贡酒,白酒
216,3,19.61,0.04,0.106,1.61,2.57,20101109,13.93,0.42,13.33,78.98,23.06,11.85,168228.0,1,002498,002498,汉缆股份,电气设备
